head,rel,tail
P24941,i,P28749
Q16539,i,Q9HBH9
P31749,i,P31946
P12931,i,P05771
P49841,i,O14640
P17252,i,P07948
P48729,i,O14640
P68400,i,P68400
P51812,i,Q16512
P17612,i,P14373
P24941,i,P46527
Q05513,i,P15976
P24941,i,P06400
P17252,i,P06241
P38936,i,P49736
Q09472,i,P16070
Q9H2X6,i,Q00987
Q13976,i,Q9Y6F6
P68400,i,P19784
Q9Y6X2,i,P42224
P24941,i,P49736
P08476,i,Q04771
P06493,i,P24864
P05412,i,Q14653
P15531,i,Q00987
P24941,i,Q01094
Q92793,i,P14921
Q9UKC9,i,Q16526
P49841,i,P10636
P27361,i,Q9BV47
P31749,i,Q92574
P51812,i,Q16513
Q16512,i,Q15418
P27361,i,Q9H2B2
P49841,i,P63104
O00459,i,P48736
P06241,i,P17252
P07948,i,P17252
Q96ST3,i,P06400
Q16512,i,Q9Y2U5
Q15418,i,Q16513
P05771,i,P06241
P04637,i,Q9UER7
P60953,i,Q9Y613
Q9Y5Y5,i,Q9Y5Y5
P45983,i,Q9HBH9
O60674,i,O14543
P68400,i,P17480
P12643,i,Q13873
P06241,i,Q13291
O75376,i,Q15466
P45983,i,Q9BUB5
Q09472,i,Q8NHW3
Q00987,i,P15531
P63104,i,Q01814
P05771,i,P12931
O00311,i,P49736
P46060,i,P49792
O00401,i,Q9UHR4
P50750,i,P30260
Q9H2X6,i,P04637
Q9HBH9,i,P45983
O95819,i,P62834
Q13309,i,Q49AN0
Q7Z3T8,i,O75674
Q06609,i,Q9BXW9
P12830,i,P35221
Q92831,i,O75410
O00512,i,Q9NQB0
P12004,i,P38936
Q13042,i,Q8NHZ8
P43403,i,P62837
P04626,i,O00459
Q86Y07,i,P51452
Q92793,i,Q13485
Q92769,i,Q15910
Q16512,i,P51812
P06730,i,Q9UKV8
P41240,i,Q16828
Q04206,i,Q92769
Q13586,i,Q9Y210
P21675,i,P01100
O60716,i,P25054
Q13526,i,P19784
P98170,i,Q13077
P41240,i,P41240
Q92769,i,Q04206
P22455,i,P09038
P61981,i,Q92574
P48736,i,O00459
P14373,i,P17612
Q07817,i,Q7Z434
O00238,i,P01137
P11473,i,Q96RL1
P53667,i,Q8TEW0
Q14686,i,P22736
P31946,i,Q92574
P56589,i,Q9Y5Y5
P09874,i,P07437
Q9UKV8,i,P06730
P10415,i,Q07820
P10398,i,P10415
P29353,i,P05067
P07900,i,P35222
Q9Y297,i,Q16526
Q15418,i,Q16512
P29590,i,P35548
Q07817,i,Q07820
Q9Y6D9,i,Q9Y2I6
P15498,i,P62993
Q05516,i,Q96RE7
P04637,i,P24941
P34932,i,Q07812
P62837,i,P43403
Q13158,i,Q14790
Q96EB6,i,O00482
O14745,i,P26038
P46108,i,Q9H2B2
Q16531,i,P62877
Q8TEW0,i,P53667
Q07812,i,Q9Y371
Q86UR1,i,Q15080
P62834,i,O95819
Q12778,i,Q92574
Q99986,i,P18754
P04637,i,Q01105
Q9NQB0,i,O00512
P08047,i,Q9Y294
P51449,i,Q96RL1
P06400,i,P24941
P19838,i,Q01105
Q9D666,i,P02545
Q13485,i,Q92793
P62258,i,Q92574
Q16665,i,Q9Y6K9
Q9HBH9,i,Q16539
P63165,i,Q16763
P42224,i,Q8TAE8
O15379,i,Q99814
Q9Y2U5,i,Q16512
P10398,i,Q07817
Q99759,i,Q16513
P01137,i,P36894
Q9Y6K9,i,Q16665
Q14258,i,O95786
Q14653,i,P05412
Q9NUX5,i,Q15554
Q07812,i,P34932
P05111,i,Q04771
P35222,i,P07900
P35222,i,P34932
Q9Y4K3,i,Q14653
P45973,i,Q13263
Q96RE7,i,Q05516
P25963,i,Q92785
O60885,i,P12004
Q7Z434,i,P46939
Q04771,i,P08476
P20226,i,P23511
P42229,i,Q8TAE8
P35968,i,P17948
P01100,i,P49736
P23769,i,Q04724
Q13705,i,P36894
Q9BV47,i,P27361
P01375,i,P00533
P01112,i,P45983
P24864,i,P06493
P17948,i,P24666
P35968,i,P49763
P36894,i,P01137
P41240,i,Q92785
P37023,i,Q13705
P35916,i,P49763
P19784,i,Q13526
Q04759,i,P63244
Q9BUB5,i,P45983
Q7L7X3,i,O60566
Q9BUB5,i,P04792
Q04771,i,P05111
P51587,i,Q06609
Q9UKC9,i,Q49AN0
P10415,i,Q96CV9
P35222,i,P63208
O00459,i,P04626
P01112,i,Q16539
P06400,i,P84022
P62258,i,Q01814
P63104,i,Q92574
P04637,i,Q9H3D4
Q13705,i,P37023
P06400,i,Q15796
Q13485,i,Q9HAU4
Q9Y297,i,Q49AN0
P63104,i,P10636
Q7Z434,i,Q07817
P01100,i,P21675
Q8N2W9,i,Q8N2W9
O60716,i,P35221
P56589,i,P56589
Q13586,i,Q13507
Q13309,i,Q16526
P20226,i,P52655
Q96ST3,i,P84022
P36894,i,Q13705
Q00987,i,Q9H2X6
P06400,i,Q96ST3
O60716,i,P35222
P01137,i,O00238
P15498,i,P29353
Q9NUX5,i,Q9NYB0
P35222,i,P35638
O60716,i,P14923
O60716,i,O60716
P01112,i,P28482
P63104,i,P49841
